Latitude,Longitude,Address,Description
40.758712,-73.993326,414 W 42nd St,414 W 42nd St<BR>Racks: 1 small
40.758712,-73.993326,414 West 42nd St,414 West 42nd St<BR>Racks: 1 small
40.758712,-73.993326,414 West 42nd St,414 West 42nd St<BR>Racks: 1 small
40.730485,-74.006801,422 Hudson St,422 Hudson St<BR>Racks: 1 small
40.758712,-73.993326,414 West 42nd St,414 West 42nd St<BR>Racks: 2 large
40.742864,-73.990614,43 West 24th St,43 West 24th St<BR>Racks: 1 small
40.730685,-74.006769,430 Hudson St,430 Hudson St<BR>Racks: 1 small
40.726068,-73.985356,431 East 6th St,431 East 6th St<BR>Racks: 1 small
40.730787,-74.006751,434 Hudson St,434 Hudson St<BR>Racks: 1 small
40.741719,-74.007217,440 West 14th St,440 West 14th St<BR>Racks: 1 small
40.731264,-74.006675,448 Hudson St,448 Hudson St<BR>Racks: 1 small
40.730836,-74.005199,45 Morton St,45 Morton St<BR>Racks: 1 small
40.743465,-74.005417,450 West 17th St,450 West 17th St<BR>Racks: 2 large
40.791276,-73.944879,1915 3rd Ave,1915 3rd Ave<BR>Racks: 2 small
40.73135,-74.006664,452 Hudson St,452 Hudson St<BR>Racks: 1 small
40.745456,-73.98254,470 Park Ave South,470 Park Ave South<BR>Racks: 1 small
40.730839,-74.005603,49 Morton Street,49 Morton Street<BR>Racks: 1 small
40.727211,-73.999693,490 Laguardia Pl,490 Laguardia Pl<BR>Racks: 1 small
40.72345,-73.995934,50 Prince St,50 Prince St<BR>Racks: 2 large
40.732958,-74.006412,500 Hudson St,500 Hudson St<BR>Racks: 1 small
40.728905,-73.980914,504 East 12 Street,504 East 12 Street<BR>Racks: 1 large
40.753047,-73.99285,505 8th Ave,505 8th Ave<BR>Racks: 1 small
40.725533,-74.009164,505 Greenwich St,505 Greenwich St<BR>Racks: 1 small
40.730845,-74.005824,52 Morton St,52 Morton St<BR>Racks: 1 small
40.723497,-73.996039,52 Prince St,52 Prince St<BR>Racks: 1 small
40.746227,-73.977744,521 3rd Ave,521 3rd Ave<BR>Racks: 1 small
40.724569,-73.983686,523 East 5th St,523 East 5th St<BR>Racks: 1 small
40.753746,-73.988605,527 7th Ave,527 7th Ave<BR>Racks: 1 small
40.730861,-74.005979,56 Morton St,56 Morton St<BR>Racks: 1 small
40.747679,-73.976711,560 3rd Ave,560 3rd Ave<BR>Racks: 1 small
40.735522,-73.992477,24 E 14th St,24 E 14th St<BR>Racks: 1 small
40.789876,-73.975277,2407 Broadway,2407 Broadway<BR>Racks: 1 small
40.726799,-73.990886,58 East 4th St,58 East 4th St<BR>Racks: 1 small
40.748612,-73.976007,591 3rd Ave,591 3rd Ave<BR>Racks: 1 small
40.807508,-73.964773,601 West 115th St,601 West 115th St<BR>Racks: 1 large
40.727297,-73.979042,605 East 11th St,605 East 11th St<BR>Racks: 1 small
40.727297,-73.979042,605 East 11th St,605 East 11th St<BR>Racks: 1 small
40.730913,-74.006336,65 Morton St,65 Morton St<BR>Racks: 1 small
40.730932,-74.00652,69 Morton St,69 Morton St<BR>Racks: 1 small
40.730916,-74.006523,70 Morton St,70 Morton St<BR>Racks: 1 large
40.723846,-73.996887,70 Prince St,70 Prince St<BR>Racks: 1 small
40.750592,-73.985711,70 West 36 St,70 West 36 St<BR>Racks: 5 small
40.731613,-74.00591,72 Barrow St,72 Barrow St<BR>Racks: 1 small
40.761955,-73.982622,787 7th Ave,787 7th Ave<BR>Racks: 1 small
40.737168,-73.992289,8 East 16th Street,8 East 16th Street<BR>Racks: 1 small
